============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1074570.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   7.1933E+06  5.7727E+05 -3.0175E+05
0000002   7.1269E+06 -1.1333E+05  2.1151E+05
0000003   7.0191E+06  1.8991E+05 -1.2732E+04
0000004   7.1111E+06  5.0057E+05 -5.3595E+04
0000005   7.1009E+06 -1.6738E+05  1.4408E+05
0000006   7.1541E+06  2.8370E+05 -1.2349E+05
0000007   7.1106E+06 -1.2001E+05 -2.3871E+05
0000008   7.1933E+06 -4.6680E+04  2.7288E+04
0000009   6.9614E+06  8.2709E+04 -9.2928E+04
0000010   7.1984E+06 -3.3678E+05 -6.7975E+04
0000011   7.0209E+06  9.6102E+04 -8.7717E+04
0000012   7.0910E+06 -3.4220E+05  1.1616E+04
0000013   7.2767E+06  5.9162E+04 -1.4724E+04
0000014   7.1859E+06  3.5842E+05  1.7239E+04
0000015   7.2118E+06  7.6681E+04 -1.4431E+05
0000016   7.1597E+06  2.9694E+05  7.7140E+03
0000017   6.9533E+06 -1.8701E+04  2.2767E+05
0000018   7.0967E+06  2.4907E+05  1.6842E+05
0000019   7.0442E+06  8.7861E+04 -1.2731E+05
0000020   7.2077E+06  9.5678E+04  2.9699E+05
0000021   7.1664E+06 -2.0983E+05  1.5417E+05
0000022   7.1364E+06 -1.9131E+05  8.5011E+04
0000023   7.1126E+06 -2.9796E+05 -1.2453E+05
0000024   7.1210E+06 -4.8516E+05  4.5504E+05
0000025   7.1284E+06 -9.3684E+04  4.6019E+04
0000026   7.2604E+06  2.9318E+05  3.5450E+05
0000027   7.0819E+06  1.3413E+05 -1.1059E+05
0000028   7.0380E+06  1.3903E+05  1.4388E+05
0000029   7.2038E+06 -1.6389E+05 -3.0360E+05
0000030   7.0442E+06  4.9310E+05 -2.6074E+05
0000031   6.9820E+06 -3.3706E+05 -2.9466E+04
0000032   7.0872E+06  8.5288E+04 -1.7772E+05
0000033   7.1589E+06 -1.3572E+05  2.4877E+05
0000034   7.2543E+06  1.5483E+05 -3.7397E+05
0000035   7.1382E+06  2.3683E+05  1.0230E+04
0000036   6.9993E+06  1.1825E+05 -7.5353E+04
0000037   7.1677E+06  4.1869E+05  2.3394E+05
0000038   7.0009E+06  1.6794E+05  3.1852E+04
0000039   7.0419E+06  4.2460E+05 -1.4335E+04
0000040   6.9965E+06 -4.8232E+04 -3.1705E+04
0000041   7.1852E+06 -1.2863E+05 -4.1622E+04
0000042   7.1891E+06 -1.0008E+05 -2.1256E+05
0000043   7.2025E+06 -2.0576E+05 -1.2111E+05
0000044   7.1298E+06 -8.6592E+04  1.3489E+04
0000045   7.1569E+06 -6.8450E+04 -4.4617E+04
0000046   7.2495E+06 -6.1724E+04  8.2726E+04
0000047   7.3764E+06  8.3330E+04 -6.8857E+04
0000048   7.0183E+06  4.4192E+05  1.9292E+05
0000049   6.9899E+06  4.8694E+04 -1.0043E+05
0000050   7.0031E+06  3.1380E+05  3.8956E+05
0000051   7.2251E+06 -1.8445E+05  1.2156E+05
0000052   7.2507E+06  1.1982E+05 -3.2838E+05
0000053   7.1211E+06  1.0932E+05 -3.3375E+05
0000054   7.0522E+06 -6.9941E+04 -1.4086E+05
0000055   7.2652E+06 -5.6459E+03  1.7658E+05
0000056   7.0648E+06  3.2960E+03  1.9549E+05
0000057   7.0843E+06  2.9647E+05  5.4915E+05
0000058   7.0799E+06  7.3354E+04  8.4490E+04
0000059   7.0739E+06 -2.5137E+05 -3.0570E+05
0000060   7.0797E+06  4.3516E+03 -2.8252E+05
0000061   7.1095E+06  7.1358E+04 -3.3775E+05
0000062   7.0794E+06  2.2140E+05  6.2243E+04
0000063   7.1083E+06 -1.6137E+05  1.6281E+05
0000064   7.1701E+06  1.8975E+05 -2.8215E+05
0000065   7.1012E+06 -1.0088E+05 -9.3216E+04
0000066   7.2342E+06 -2.3382E+05 -1.7082E+03
0000067   7.2518E+06  4.2693E+04 -1.6288E+05
0000068   7.1489E+06 -9.5782E+04  2.2142E+05
0000069   7.1053E+06  4.1005E+05  2.0994E+05
0000070   7.0465E+06 -1.3287E+05 -2.4536E+05
0000071   6.9612E+06  8.4809E+04 -2.5918E+04
0000072   7.2456E+06 -3.3761E+05 -2.4656E+04
0000073   7.0939E+06  1.6330E+04  1.6811E+05
0000074   7.2662E+06 -1.4187E+05  4.3825E+04
0000075   7.1349E+06  9.5506E+04 -5.1525E+04
0000076   7.0387E+06  9.6669E+04 -1.5330E+05
0000077   7.0177E+06 -1.6211E+05 -1.7679E+05
0000078   7.0920E+06  8.1653E+04 -6.5843E+04
0000079   7.1274E+06 -9.3153E+04 -2.3436E+05
0000080   7.1088E+06  3.8471E+04 -2.1615E+05
0000081   6.9402E+06 -1.3147E+05  1.5530E+05
0000082   7.1309E+06 -3.7712E+03 -3.5805E+05
0000083   7.2308E+06 -4.4826E+04 -1.3068E+05
0000084   7.1173E+06  2.6127E+04 -1.9092E+05
0000085   7.0808E+06 -4.2660E+04 -3.6066E+05
0000086   7.1766E+06  5.5996E+04  2.7383E+05
0000087   7.0706E+06 -2.7361E+05  7.6444E+04
0000088   7.2796E+06 -8.1073E+04  2.7635E+04
0000089   7.0126E+06 -2.1029E+05  3.4466E+05
0000090   7.1674E+06 -1.8758E+05 -1.5196E+04
0000091   7.0580E+06  9.4374E+04  4.8968E+04
0000092   7.1593E+06 -2.3859E+05 -1.5204E+05
0000093   7.2042E+06  5.8019E+04 -9.8715E+04
0000094   7.0607E+06  2.7148E+04  2.1231E+05
0000095   6.9138E+06  1.3636E+04 -2.2445E+05
0000096   7.1054E+06  6.7760E+04  8.7620E+04
0000097   7.1136E+06  3.4050E+04  4.9715E+04
0000098   7.0517E+06 -4.1040E+05 -1.1610E+05
0000099   7.1942E+06  1.8882E+05  2.0230E+05
0000100   6.9941E+06  2.0902E+05 -3.9506E+05
0000101   6.9393E+06 -1.5181E+05 -5.6780E+04
0000102   6.9645E+06  4.5743E+04  1.9249E+05
0000103   7.1415E+06 -2.2237E+05  4.0143E+05
0000104   7.2274E+06 -8.7569E+04  5.6809E+05
0000105   7.1251E+06  3.6342E+05 -5.6326E+05
0000106   7.1919E+06 -1.7816E+05  3.6773E+05
