============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1936337.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.2930E+07 -1.4248E+06  5.5103E+05
0000002   2.2402E+07 -1.7929E+05 -5.8229E+05
0000003   2.2620E+07  1.4856E+06 -1.5747E+05
0000004   2.2577E+07 -8.9885E+05 -1.1463E+06
0000005   2.2632E+07  5.0317E+05  3.8466E+05
0000006   2.2480E+07 -6.1311E+05  4.4526E+05
0000007   2.2768E+07  8.5402E+05  1.7863E+05
0000008   2.2721E+07  7.5933E+05 -6.0603E+05
0000009   2.1953E+07 -1.9570E+06 -1.5276E+06
0000010   2.3115E+07  1.4004E+06 -7.8518E+05
0000011   2.2474E+07  2.5198E+05  3.8992E+05
0000012   2.2595E+07 -7.3720E+05 -7.2984E+03
0000013   2.2660E+07 -5.1710E+05  1.2930E+06
0000014   2.2697E+07 -2.5552E+05 -1.1488E+06
0000015   2.2539E+07  2.6879E+05 -2.7498E+05
0000016   2.2562E+07  1.6641E+05  1.9046E+05
0000017   2.3520E+07 -1.6797E+03 -3.4881E+03
0000018   2.2778E+07  4.9515E+05 -4.5336E+05
0000019   2.2816E+07 -1.9001E+05  5.6300E+05
0000020   2.2156E+07 -2.6530E+05  1.5522E+06
0000021   2.2783E+07 -1.2683E+05 -5.2833E+05
0000022   2.2070E+07 -5.4982E+04  7.6590E+04
0000023   2.2611E+07  2.7542E+04 -1.0945E+06
0000024   2.2688E+07 -6.0881E+05  4.9261E+05
0000025   2.2672E+07 -5.0109E+05 -6.5239E+05
0000026   2.2687E+07  5.5592E+05  2.0195E+05
0000027   2.2745E+07 -7.9249E+05  9.1155E+05
0000028   2.2559E+07  1.7186E+05  3.4156E+05
0000029   2.3011E+07 -3.4441E+05 -1.7373E+05
0000030   2.2528E+07 -6.2807E+05  1.7264E+06
0000031   2.3120E+07 -1.0437E+06  1.1271E+06
0000032   2.3091E+07  2.0940E+05  3.7110E+05
0000033   2.2227E+07 -2.6835E+05  3.2386E+05
0000034   2.1921E+07  4.3455E+04  1.9171E+05
0000035   2.2925E+07  6.4667E+05  4.5255E+05
0000036   2.2945E+07  5.9245E+05  2.5982E+05
0000037   2.2183E+07 -2.0852E+06  2.3750E+06
0000038   2.2407E+07  6.4702E+05  2.2874E+05
0000039   2.2301E+07 -4.1070E+05  4.6520E+05
0000040   2.2824E+07  1.2182E+06  7.5161E+04
0000041   2.2607E+07  7.0913E+05 -4.7402E+04
0000042   2.3054E+07 -1.0842E+06  3.5492E+05
0000043   2.2657E+07  4.0658E+05  4.5842E+05
0000044   2.2631E+07  7.0966E+04  1.2061E+06
0000045   2.2721E+07  1.4217E+05 -1.4495E+05
0000046   2.2852E+07  6.8723E+05  8.5941E+05
0000047   2.2696E+07 -2.0850E+05 -8.5797E+05
0000048   2.3245E+07 -6.2522E+05 -9.0384E+04
0000049   2.2170E+07 -8.9607E+05 -3.6251E+05
0000050   2.2252E+07 -7.2260E+04 -1.6928E+05
0000051   2.2280E+07  5.1468E+05 -8.1530E+05
0000052   2.2770E+07  2.5253E+04  4.2351E+05
0000053   2.2647E+07 -4.2720E+05 -1.0380E+05
0000054   2.2965E+07 -8.6062E+04 -3.1551E+05
0000055   2.2353E+07 -3.3094E+05 -9.7590E+04
0000056   2.3358E+07  8.5023E+04 -4.8176E+05
0000057   2.2479E+07  5.7815E+04  4.7170E+05
0000058   2.2645E+07 -7.2086E+05  5.5441E+05
0000059   2.1945E+07 -4.6380E+05 -9.3781E+05
0000060   2.2980E+07  6.4448E+05 -1.2401E+05
0000061   2.3459E+07  4.7167E+05  3.9303E+05
0000062   2.2769E+07 -4.4508E+05 -3.9634E+05
0000063   2.2803E+07  3.9228E+05 -1.4341E+06
0000064   2.2033E+07 -1.0121E+06 -1.0211E+06
0000065   2.2171E+07  8.6424E+05 -5.1657E+05
0000066   2.2633E+07 -4.2612E+04 -2.8119E+05
0000067   2.2688E+07 -4.3517E+05  3.1381E+05
0000068   2.3009E+07 -6.6921E+05 -2.6391E+05
0000069   2.2905E+07  8.6080E+05  1.2165E+05
0000070   2.3040E+07  2.0440E+05 -3.9693E+05
0000071   2.2509E+07  6.5181E+05  8.1932E+05
0000072   2.2540E+07 -1.2031E+06 -4.5606E+05
0000073   2.2943E+07  1.0063E+05  3.6633E+05
0000074   2.2078E+07 -1.3459E+06  5.0145E+05
0000075   2.2835E+07 -2.0222E+06 -1.3530E+06
0000076   2.2407E+07  5.8201E+05  2.4128E+06
0000077   2.2823E+07  2.4212E+04 -5.8565E+04
0000078   2.3639E+07 -2.0963E+05  7.7427E+05
0000079   2.2696E+07  8.2924E+05 -1.8057E+06
0000080   2.2616E+07  3.8272E+04  6.7082E+05
0000081   2.2534E+07  8.7254E+05 -5.8883E+05
0000082   2.2870E+07 -3.8995E+05  8.3686E+04
0000083   2.2522E+07 -2.9112E+05 -1.1042E+06
0000084   2.2466E+07  2.9284E+05  1.1445E+06
0000085   2.2139E+07  3.2171E+05  3.4102E+05
0000086   2.2417E+07  2.9570E+05  7.0149E+05
0000087   2.2871E+07  1.2928E+04 -6.4583E+05
0000088   2.2083E+07 -9.9858E+05  6.8004E+05
0000089   2.2672E+07 -7.1044E+05 -2.8712E+05
0000090   2.2537E+07  1.9191E+06  8.0494E+05
0000091   2.2180E+07  4.4551E+05  1.5524E+05
0000092   2.3196E+07 -9.8121E+05  7.0079E+04
0000093   2.2809E+07  1.0312E+05  5.6936E+05
0000094   2.2592E+07 -2.7605E+05  2.3104E+04
0000095   2.3565E+07 -3.4507E+05  5.9398E+05
0000096   2.2316E+07 -3.1621E+06 -1.1424E+05
0000097   2.2488E+07 -1.1825E+05  8.9831E+05
0000098   2.2600E+07  7.0315E+05  8.8104E+05
0000099   2.3188E+07 -4.7463E+05 -2.1647E+05
0000100   2.2622E+07 -1.3765E+05 -4.8920E+04
0000101   2.2880E+07 -3.9811E+04  1.3624E+06
0000102   2.2319E+07  6.2738E+05  1.1804E+06
0000103   2.2678E+07 -1.0492E+05  2.4171E+05
0000104   2.3068E+07  4.1814E+05  6.3933E+05
0000105   2.2719E+07 -4.1966E+05 -1.5202E+04
0000106   2.2822E+07 -2.2236E+05 -3.2522E+05
