============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1074570.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.9345E+06  2.6028E+05  1.3247E+05
0000002   1.9533E+06 -1.2471E+05 -1.0141E+05
0000003   1.9297E+06 -9.9164E+04  2.1306E+05
0000004   1.9449E+06 -9.9520E+04  3.9217E+04
0000005   1.9599E+06  1.9091E+05  2.2575E+05
0000006   1.9945E+06  3.7101E+04 -9.1955E+04
0000007   1.9649E+06 -1.3342E+05  2.9829E+04
0000008   1.8727E+06  9.2857E+04  1.5007E+05
0000009   1.8514E+06 -3.0045E+05 -4.1987E+05
0000010   1.9546E+06  1.4745E+05 -1.9764E+04
0000011   1.9006E+06 -3.8170E+05  1.4798E+05
0000012   1.9207E+06 -7.9046E+04 -7.5773E+03
0000013   1.8822E+06 -2.5265E+05 -4.5476E+04
0000014   1.8936E+06  1.9020E+05  8.4786E+04
0000015   2.0038E+06  7.4771E+04 -2.0514E+04
0000016   1.9331E+06 -2.0173E+05  3.1278E+04
0000017   1.9991E+06  5.6407E+03  7.6485E+04
0000018   1.9634E+06 -9.1209E+04 -3.2199E+05
0000019   1.9202E+06  5.7751E+04 -1.4110E+05
0000020   1.9908E+06  1.0298E+04 -8.5583E+04
0000021   1.9245E+06  7.7083E+04 -2.2920E+05
0000022   1.9455E+06 -2.0848E+04  2.1526E+05
0000023   1.9348E+06 -1.5275E+05  1.0695E+05
0000024   1.9665E+06 -5.9093E+04  6.9449E+04
0000025   1.8611E+06 -2.0540E+05  5.0071E+05
0000026   1.7344E+06 -4.9473E+05  4.5913E+04
0000027   1.9341E+06 -1.6617E+05  2.3240E+05
0000028   1.9238E+06 -9.6720E+04  2.7870E+03
0000029   1.9787E+06 -3.2363E+04 -1.4226E+04
0000030   1.8457E+06  3.7171E+05 -6.8048E+04
0000031   1.9723E+06 -8.9083E+04 -1.4245E+05
0000032   1.8787E+06  8.8069E+04  8.9623E+04
0000033   1.9477E+06  2.0625E+05  7.0684E+04
0000034   1.8948E+06 -1.1935E+05 -1.3042E+05
0000035   1.8636E+06 -3.6357E+04  3.9092E+05
0000036   1.9195E+06 -5.5440E+04  1.8492E+04
0000037   1.9596E+06 -5.7279E+04  3.3839E+04
0000038   1.8189E+06  3.9709E+05 -3.6647E+05
0000039   1.9379E+06 -6.8280E+04  1.0483E+05
0000040   1.9010E+06  2.2963E+05  1.1297E+04
0000041   1.9452E+06 -2.9643E+04  2.7288E+05
0000042   1.9195E+06  4.8970E+04 -1.8404E+05
0000043   1.8830E+06  3.1366E+05 -2.7774E+04
0000044   1.9292E+06  5.8667E+04 -5.1660E+04
0000045   1.9738E+06  4.3258E+03 -2.0673E+05
0000046   1.9114E+06  1.4753E+05 -1.3733E+05
0000047   1.9141E+06  1.8977E+05  2.7630E+05
0000048   1.9244E+06  1.3438E+04 -2.1650E+04
0000049   1.9191E+06 -6.4550E+04  3.1840E+04
0000050   1.9635E+06 -2.8426E+03 -7.4166E+04
0000051   1.9295E+06 -1.6668E+05 -7.5125E+04
0000052   1.9652E+06 -1.3421E+05 -1.6320E+04
0000053   1.9191E+06 -6.9720E+04 -1.7874E+05
0000054   1.9363E+06  4.5881E+04 -4.6727E+04
0000055   1.9582E+06 -3.0077E+05 -8.1436E+04
0000056   1.9310E+06 -1.7737E+05  1.0398E+05
0000057   1.8966E+06  2.0499E+05 -1.8691E+05
0000058   1.9781E+06 -6.4902E+04  6.9835E+04
0000059   1.9652E+06  1.9072E+05  2.1846E+05
0000060   1.9719E+06  3.4409E+04  1.8651E+05
0000061   2.0348E+06 -6.3916E+04 -5.7180E+04
0000062   2.0022E+06  3.7590E+04  1.1706E+05
0000063   1.9840E+06  4.8326E+04  7.8144E+04
0000064   1.8524E+06 -2.0097E+05  3.4200E+05
0000065   1.9770E+06 -1.0800E+05 -1.3273E+05
0000066   1.9478E+06 -8.6158E+04 -1.8199E+03
0000067   1.9195E+06 -5.1338E+04 -8.5059E+04
0000068   1.9500E+06 -4.8269E+04 -3.5824E+04
0000069   1.9303E+06  1.0881E+05  2.1316E+05
0000070   1.9504E+06 -6.8919E+04 -3.5848E+04
0000071   1.9986E+06  4.4899E+04  4.4183E+04
0000072   1.9177E+06 -2.4080E+05  2.0878E+05
0000073   1.9177E+06  1.7713E+05 -5.0592E+04
0000074   1.9909E+06 -1.0641E+05  8.0717E+04
0000075   1.9156E+06  2.4408E+05  1.2684E+04
0000076   1.9314E+06  6.2499E+04  3.4079E+03
0000077   1.8767E+06 -1.1852E+05 -1.5374E+05
0000078   1.9194E+06 -1.3736E+05 -1.6250E+05
0000079   1.9322E+06  1.1188E+05 -1.0509E+05
0000080   1.8026E+06 -1.0453E+05  3.8699E+05
0000081   1.8634E+06 -1.2987E+05  3.0958E+05
0000082   2.0522E+06 -3.8983E+04 -1.7510E+05
0000083   1.9151E+06  3.1165E+05 -4.6047E+04
0000084   1.9504E+06  7.8867E+04  1.0330E+05
0000085   1.8915E+06  2.3911E+05 -2.1634E+05
0000086   1.9142E+06  2.6579E+05 -1.0118E+05
0000087   1.8700E+06  2.8613E+05  1.8017E+05
0000088   1.9421E+06 -1.1269E+05 -9.4391E+04
0000089   1.9200E+06 -2.3564E+05  9.8668E+04
0000090   1.8923E+06  3.2969E+04  3.5926E+04
0000091   1.8871E+06 -1.3762E+05  2.9610E+05
0000092   1.9906E+06 -6.8109E+04  1.4259E+05
0000093   1.9063E+06 -3.5595E+05 -1.9544E+05
0000094   1.9860E+06 -4.4032E+04  1.9832E+03
0000095   1.9985E+06  2.9350E+05  1.6261E+04
0000096   1.9655E+06 -5.9837E+04  2.3191E+04
0000097   1.7731E+06 -7.4659E+04  1.9520E+05
0000098   1.9525E+06  2.3136E+05 -8.2544E+04
0000099   1.9411E+06 -2.2778E+05  2.0486E+05
0000100   1.9649E+06 -7.3781E+04  4.1326E+04
0000101   1.9234E+06 -1.6562E+05 -1.6683E+05
0000102   1.8900E+06  1.2646E+05 -3.0087E+04
0000103   1.7831E+06  4.7055E+05 -2.9886E+04
0000104   1.9515E+06  8.3121E+02 -1.4196E+05
0000105   1.9361E+06  1.4718E+04  3.5566E+04
0000106   1.7869E+06  1.3536E+05  2.3763E+05
