============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1800582.E-01 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.0008E+07  7.1371E+05 -1.7424E+06
0000002   8.9998E+07  8.3939E+05  1.1655E+06
0000003   9.0293E+07 -5.0395E+05 -7.8860E+05
0000004   8.8966E+07 -3.0030E+05 -7.5049E+05
0000005   8.9738E+07  1.2648E+06  2.7968E+04
0000006   8.9665E+07 -1.0066E+05 -1.1073E+06
0000007   9.0525E+07  1.4165E+06 -3.9933E+06
0000008   9.0554E+07  3.2063E+05 -1.8309E+06
0000009   8.9205E+07  2.1021E+06 -5.5022E+05
0000010   9.0658E+07  1.2326E+06  1.2477E+06
0000011   9.0102E+07  1.3257E+06  9.8459E+05
0000012   9.0594E+07  6.4513E+05 -8.4420E+04
0000013   9.0092E+07  5.4296E+05 -1.3292E+06
0000014   8.9536E+07 -3.3240E+06 -4.3642E+05
0000015   8.8945E+07  3.0636E+06 -5.9302E+05
0000016   9.0701E+07 -1.4589E+05 -1.6016E+06
0000017   8.9863E+07  3.3788E+05 -8.4755E+05
0000018   9.0122E+07 -4.6192E+05  3.6732E+05
0000019   8.9786E+07 -9.0906E+05 -1.7404E+06
0000020   9.0100E+07  1.7104E+06 -9.2945E+05
0000021   8.9141E+07 -1.8937E+05  7.9983E+05
0000022   9.0045E+07 -4.8772E+05  3.3896E+05
0000023   8.9371E+07 -5.8343E+05 -1.9311E+06
0000024   9.0125E+07 -1.2478E+06 -2.3097E+06
0000025   8.9518E+07  3.0512E+05  1.0476E+05
0000026   8.9627E+07 -1.5877E+05 -1.1634E+06
0000027   9.0118E+07 -2.3411E+06  2.7319E+06
0000028   8.9402E+07 -1.9651E+06 -2.1153E+04
0000029   8.9023E+07  5.8825E+05  2.1724E+06
0000030   9.0084E+07 -1.1156E+05  1.4363E+06
0000031   8.9949E+07  8.4270E+05  2.1848E+06
0000032   9.0354E+07  2.0152E+06 -3.3350E+04
0000033   8.9331E+07 -9.1510E+05 -2.2990E+06
0000034   8.9598E+07 -1.7736E+05  3.7488E+05
0000035   8.9165E+07 -6.4781E+05 -1.1261E+06
0000036   9.0149E+07 -3.2799E+05  7.1968E+05
0000037   8.9298E+07 -1.8564E+06  5.4041E+05
0000038   9.0179E+07  2.7790E+06 -4.5086E+06
0000039   9.0595E+07 -1.0191E+06  2.9368E+05
0000040   8.8671E+07 -4.4329E+06  4.0084E+06
0000041   9.0339E+07  1.4319E+06 -1.1568E+06
0000042   9.0395E+07 -2.5062E+06  1.7356E+06
0000043   8.9245E+07  1.6306E+06 -4.4823E+04
0000044   8.9537E+07 -7.4757E+05 -2.8760E+06
0000045   8.9845E+07 -1.0514E+06  9.5305E+05
0000046   8.8578E+07 -1.2727E+06 -1.0527E+05
0000047   8.9538E+07  1.3483E+06  7.0660E+05
0000048   9.0259E+07 -9.4992E+05  4.5450E+05
0000049   9.0201E+07 -1.9037E+06 -3.2986E+06
0000050   8.9507E+07  7.5269E+05 -1.0980E+06
0000051   8.9955E+07 -2.2447E+05 -1.7660E+05
0000052   8.8910E+07 -8.5671E+05 -4.3791E+05
0000053   8.9231E+07  2.9826E+06 -1.7622E+06
0000054   9.0708E+07 -5.3865E+05 -1.4947E+06
0000055   8.8352E+07  8.1086E+05  7.4545E+05
0000056   8.9622E+07 -1.6069E+06  1.9080E+06
0000057   9.0095E+07 -8.2816E+05  2.4022E+03
0000058   9.0101E+07 -6.7260E+05  2.5009E+05
0000059   8.8840E+07 -1.5251E+06 -5.1065E+05
0000060   8.9857E+07  2.2082E+05 -1.9137E+06
0000061   9.0909E+07 -1.8198E+05  6.9998E+05
0000062   9.0622E+07  1.5811E+05  1.3409E+06
0000063   9.0662E+07 -8.3512E+04 -2.6996E+06
0000064   8.9770E+07 -2.3331E+05  1.8148E+05
0000065   9.0229E+07 -7.1883E+05  4.5873E+05
0000066   9.0230E+07 -1.4415E+06 -1.8072E+03
0000067   8.9523E+07  3.0434E+05  4.6645E+04
0000068   9.0609E+07 -5.8634E+05 -2.7497E+06
0000069   9.0048E+07  1.9304E+06  8.7823E+05
0000070   8.8935E+07 -1.5142E+05 -7.3773E+05
0000071   8.9319E+07  1.0213E+06 -1.4496E+06
0000072   8.9861E+07 -8.0639E+05  1.7811E+06
0000073   8.9989E+07  5.7891E+05  8.6887E+05
0000074   9.0201E+07 -1.1302E+06  9.7152E+05
0000075   8.9278E+07 -2.2577E+05  1.5010E+06
0000076   9.0174E+07  7.8843E+05 -8.7429E+05
0000077   8.9423E+07  1.4350E+06  1.0345E+06
0000078   8.9676E+07 -1.7019E+06 -1.7888E+06
0000079   8.9286E+07  1.3542E+06  1.0421E+06
0000080   8.9654E+07 -1.1183E+06 -8.2781E+05
0000081   8.9222E+07  1.5556E+05  2.0778E+06
0000082   9.0416E+07  7.2954E+05  2.5018E+06
0000083   8.9943E+07  1.3312E+06  8.9391E+04
0000084   8.9679E+07 -1.6176E+05 -3.3998E+06
0000085   8.9529E+07 -4.5546E+02  2.5565E+06
0000086   8.9685E+07 -1.8821E+06 -1.8098E+05
0000087   8.8999E+07 -7.2871E+05 -1.6756E+05
0000088   8.9882E+07 -2.7193E+05  8.4556E+05
0000089   9.0225E+07 -2.4453E+05 -2.3626E+05
0000090   8.8889E+07  1.5818E+06  1.0790E+06
0000091   8.9452E+07  1.6308E+05  1.4467E+06
0000092   8.8806E+07  1.1148E+05  8.2140E+05
0000093   8.9644E+07 -1.4661E+05 -3.7997E+05
0000094   8.8764E+07 -3.0863E+05  4.1545E+05
0000095   8.9262E+07 -1.1077E+06  1.6655E+06
0000096   8.9722E+07  1.7654E+06  2.9543E+06
0000097   9.0703E+07  8.0165E+05  1.7322E+06
0000098   9.0004E+07 -3.1872E+06 -1.3569E+06
0000099   9.0552E+07 -5.5111E+05  7.8334E+05
0000100   8.9416E+07 -2.9359E+06  9.3526E+05
0000101   8.9790E+07 -2.4127E+05  1.8490E+06
0000102   8.9685E+07 -2.5407E+06 -1.4159E+06
0000103   9.0435E+07  8.1501E+05  1.4632E+05
0000104   8.9077E+07  2.2935E+06 -1.8087E+06
0000105   9.0080E+07 -3.0054E+05  1.0665E+06
0000106   8.9857E+07 -1.1693E+06 -1.3407E+05
