============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1800582.E-01 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.0040E+08  3.9653E+05 -1.1977E+06
0000002   1.0163E+08  1.7886E+06  5.8374E+05
0000003   1.0150E+08 -2.3381E+04 -1.7130E+05
0000004   1.0245E+08  2.2960E+05 -4.9693E+05
0000005   1.0249E+08  3.2821E+05  1.7984E+06
0000006   1.0090E+08 -2.2567E+06 -7.5687E+05
0000007   1.0132E+08  4.0185E+06 -3.0864E+06
0000008   1.0097E+08  1.1589E+06 -1.7019E+06
0000009   1.0083E+08  1.3708E+06 -2.4239E+06
0000010   1.0102E+08  1.5536E+05  4.5746E+06
0000011   1.0124E+08 -2.5084E+06 -1.6596E+05
0000012   1.0198E+08 -1.2018E+06  6.6069E+05
0000013   1.0147E+08  3.8307E+05  1.3590E+06
0000014   1.0187E+08 -3.8314E+06 -1.3251E+06
0000015   1.0126E+08 -1.7607E+06  9.8194E+05
0000016   1.0150E+08 -9.1377E+05  7.8444E+05
0000017   1.0045E+08 -5.2431E+06 -6.4414E+05
0000018   1.0182E+08 -1.5289E+06 -5.7403E+04
0000019   1.0139E+08 -2.0382E+05 -1.9677E+05
0000020   1.0150E+08  4.8484E+05 -2.7282E+06
0000021   1.0169E+08  6.7239E+05 -7.8271E+05
0000022   1.0107E+08  1.3917E+06  7.6534E+05
0000023   1.0017E+08  2.0825E+05 -6.9498E+05
0000024   1.0045E+08  6.2850E+05  5.9511E+05
0000025   1.0288E+08  1.8254E+05 -1.5788E+06
0000026   1.0162E+08 -1.4463E+06 -2.8949E+06
0000027   1.0123E+08  8.5078E+05  2.9988E+05
0000028   1.0082E+08  2.9059E+06  5.3212E+05
0000029   1.0032E+08 -4.8814E+05  2.0969E+06
0000030   1.0018E+08  1.2442E+06 -1.6804E+06
0000031   1.0168E+08 -2.2830E+06  2.6725E+06
0000032   1.0227E+08  7.2337E+05  9.0242E+05
0000033   1.0137E+08  1.1562E+06 -7.3109E+05
0000034   1.0113E+08  2.1725E+05 -1.8056E+06
0000035   1.0178E+08  1.0834E+06 -4.5616E+05
0000036   1.0059E+08 -1.8843E+06 -3.2547E+05
0000037   1.0140E+08 -3.3633E+06 -3.4550E+06
0000038   1.0097E+08 -1.5089E+06 -2.2132E+06
0000039   1.0116E+08 -1.1259E+04 -1.4626E+06
0000040   1.0180E+08 -2.0201E+06 -6.5853E+05
0000041   1.0221E+08 -1.7939E+05  3.5883E+06
0000042   1.0108E+08 -1.6909E+06  4.9679E+05
0000043   1.0172E+08  2.1503E+05  8.5612E+05
0000044   1.0122E+08  7.1037E+05 -2.1006E+06
0000045   1.0046E+08 -5.3631E+05 -2.2437E+06
0000046   1.0090E+08 -1.7540E+05  1.5418E+06
0000047   1.0136E+08  7.6934E+05  8.9199E+05
0000048   1.0264E+08 -4.0404E+06 -2.6003E+06
0000049   1.0191E+08 -2.2946E+06  3.1420E+05
0000050   1.0200E+08 -3.7453E+05 -1.5067E+06
0000051   1.0135E+08 -3.8778E+05 -1.5776E+05
0000052   1.0145E+08 -1.4472E+06  1.9082E+06
0000053   1.0153E+08 -1.9213E+06  9.8988E+04
0000054   1.0066E+08  4.5350E+06 -1.5001E+06
0000055   1.0063E+08 -2.0886E+06 -1.9104E+06
0000056   1.0051E+08  3.4961E+05 -4.1944E+05
0000057   1.0100E+08  2.4294E+06 -1.4859E+06
0000058   1.0150E+08  1.5512E+06 -4.3707E+05
0000059   1.0166E+08  2.6422E+06  5.1835E+05
0000060   1.0073E+08 -3.2578E+05  7.6365E+05
0000061   1.0081E+08 -2.8093E+06  1.3049E+06
0000062   9.9547E+07 -8.4503E+05 -1.7386E+06
0000063   1.0175E+08 -1.0044E+06  2.3827E+06
0000064   1.0032E+08 -2.4481E+05  1.7569E+05
0000065   1.0048E+08  7.4980E+05 -2.9034E+06
0000066   1.0110E+08 -2.1389E+06  1.0410E+06
0000067   1.0081E+08  8.2450E+04 -1.3726E+06
0000068   1.0088E+08  1.8841E+05 -1.2464E+06
0000069   1.0129E+08  6.4756E+05 -3.3811E+06
0000070   1.0031E+08 -1.1373E+06 -1.4697E+06
0000071   1.0186E+08 -1.8240E+06  3.3187E+05
0000072   1.0073E+08  6.1143E+05  1.0379E+06
0000073   1.0139E+08  8.0021E+05 -2.9611E+05
0000074   1.0027E+08  7.3922E+05 -3.5547E+06
0000075   1.0127E+08  6.5342E+05 -4.4508E+05
0000076   1.0156E+08 -6.4851E+05 -8.2271E+05
0000077   9.8216E+07 -1.4024E+07  2.0893E+06
0000078   1.0139E+08  8.8318E+05 -7.7226E+05
0000079   1.0093E+08  1.5109E+06 -9.8469E+05
0000080   1.0146E+08  1.5039E+05  2.3007E+06
0000081   1.0221E+08  7.1617E+05 -4.6456E+05
0000082   1.0129E+08  4.3249E+05  4.2385E+04
0000083   1.0124E+08  9.5648E+05  1.1100E+06
0000084   1.0188E+08  4.7242E+05  3.5454E+06
0000085   1.0151E+08  1.8922E+06  1.0485E+05
0000086   1.0147E+08 -3.6695E+05  4.5409E+05
0000087   1.0066E+08  8.3262E+05 -3.4161E+05
0000088   9.9987E+07 -3.5752E+05 -2.8578E+06
0000089   1.0165E+08 -3.5499E+05  2.5262E+06
0000090   1.0015E+08  1.0577E+06  2.5263E+06
0000091   1.0203E+08  2.1798E+06  2.8750E+06
0000092   1.0057E+08  2.2299E+06  2.7732E+05
0000093   1.0051E+08 -8.0272E+05  1.1640E+06
0000094   1.0141E+08 -2.1436E+06  1.5521E+06
0000095   1.0143E+08 -2.8133E+06  1.9886E+05
0000096   1.0081E+08 -2.0704E+05 -2.2989E+05
0000097   1.0131E+08  1.8968E+06 -5.8859E+05
0000098   1.0151E+08 -2.8015E+06 -1.2512E+05
0000099   1.0105E+08 -6.4297E+06  2.9540E+06
0000100   1.0065E+08  2.6725E+05 -5.3211E+05
0000101   1.0192E+08 -2.6687E+06  1.2965E+06
0000102   1.0219E+08  9.7997E+05 -8.0140E+05
0000103   1.0203E+08 -2.7620E+05 -6.0217E+05
0000104   1.0057E+08  2.9221E+06  6.0971E+05
0000105   1.0120E+08 -6.3631E+04  2.2684E+05
0000106   1.0084E+08  1.0533E+06  1.0584E+06
