============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1878643.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.2477E+05 -1.4301E+04  5.3093E+04
0000002   5.3978E+05  2.6820E+04  5.5478E+03
0000003   5.3063E+05  1.9459E+04 -1.9027E+03
0000004   5.3895E+05 -3.9060E+04 -1.0041E+04
0000005   5.3352E+05 -8.3957E+03 -1.1116E+04
0000006   5.2844E+05 -7.4404E+03  3.7566E+04
0000007   5.2896E+05 -9.0703E+03  1.3662E+04
0000008   5.2787E+05  2.8587E+04 -7.6817E+04
0000009   5.3386E+05 -1.0139E+04  1.0466E+04
0000010   5.3467E+05 -4.6498E+04  2.3327E+04
0000011   5.3458E+05 -1.3958E+04  2.7715E+04
0000012   5.3375E+05  8.6882E+03 -3.6934E+03
0000013   5.3262E+05  1.3805E+04  7.3162E+04
0000014   5.3244E+05 -1.4528E+04 -2.0672E+04
0000015   3.5831E+05  7.4653E+04 -5.1480E+04
0000016   5.2306E+05  3.4012E+04 -4.0812E+04
0000017   5.3204E+05 -4.2745E+01 -3.3697E+03
0000018   5.3389E+05  1.0994E+04 -2.7952E+03
0000019   5.3295E+05 -4.2758E+04 -1.3542E+04
0000020   5.2539E+05 -3.9288E+04  6.2356E+04
0000021   5.3232E+05 -3.9369E+02  2.5766E+04
0000022   5.2230E+05  8.4792E+04  4.7383E+04
0000023   5.2535E+05 -3.7427E+04  7.4984E+03
0000024   5.3509E+05  5.4331E+04  1.0566E+04
0000025   5.2716E+05 -5.1624E+04 -1.6002E+04
0000026   5.2873E+05  1.8248E+04 -2.9195E+04
0000027   5.0605E+05 -3.1856E+04  1.2592E+05
0000028   5.1587E+05 -8.4660E+04  3.2593E+04
0000029   5.2276E+05  5.8355E+04  1.4115E+04
0000030   5.0918E+05 -4.5961E+04 -1.5023E+04
0000031   5.4211E+05 -1.3865E+04 -3.4801E+03
0000032   5.3157E+05 -5.2248E+04 -2.2800E+04
0000033   5.3664E+05 -3.6900E+03  6.6951E+03
0000034   5.3746E+05 -1.2332E+04  3.3163E+04
0000035   5.3913E+05 -1.8006E+04 -4.0995E+04
0000036   5.1872E+05 -2.8420E+04 -6.5964E+03
0000037   5.2977E+05  1.2290E+04 -1.9551E+04
0000038   5.3013E+05  3.4240E+04  1.3301E+03
0000039   5.3845E+05  2.1806E+04  1.5006E+04
0000040   5.2861E+05  1.1214E+04  6.5773E+03
0000041   5.3624E+05  9.8152E+02 -2.9398E+04
0000042   5.2603E+05 -4.4558E+04 -3.7851E+04
0000043   5.3317E+05 -2.4763E+03  6.1628E+03
0000044   5.2704E+05  1.3709E+04  2.5500E+04
0000045   5.3367E+05  3.4767E+04  4.7569E+04
0000046   5.2658E+05  1.9445E+04 -8.0515E+04
0000047   5.3009E+05  4.0210E+04  2.1420E+04
0000048   5.1933E+05  5.5909E+04  9.5720E+03
0000049   5.3430E+05 -4.6330E+04  6.7309E+03
0000050   5.3941E+05  4.5606E+02  1.0693E+04
0000051   5.1180E+05 -1.9445E+04  8.0343E+04
0000052   5.4113E+05  8.5058E+03 -2.4690E+04
0000053   5.1764E+05 -3.0244E+04 -5.6925E+04
0000054   5.2556E+05  5.8107E+04 -3.1811E+04
0000055   5.3028E+05  4.0921E+04  4.3566E+04
0000056   5.1970E+05  1.1770E+04  6.1057E+04
0000057   5.3343E+05  1.1544E+04  3.3558E+04
0000058   5.1894E+05  8.3283E+03 -1.5129E+04
0000059   5.3106E+05 -3.4064E+04  1.9147E+04
0000060   5.3344E+05  1.0130E+04  3.0080E+04
0000061   5.3074E+05 -4.2561E+04 -1.9634E+04
0000062   5.3603E+05 -2.8142E+03 -1.0215E+04
0000063   5.3931E+05 -5.2100E+04 -9.5390E+03
0000064   4.9535E+05 -1.0770E+04 -1.7601E+05
0000065   5.2890E+05  2.0309E+04 -1.1647E+04
0000066   5.3728E+05 -5.1292E+04  6.5504E+04
0000067   5.3593E+05 -3.3046E+04 -1.0010E+04
0000068   5.3240E+05  1.7301E+04  3.9221E+04
0000069   5.2559E+05 -9.1141E+03  2.1227E+03
0000070   5.3842E+05  1.8381E+04 -4.5406E+03
0000071   5.4107E+05 -1.7729E+04  6.6451E+03
0000072   5.2519E+05 -2.5192E+04 -6.7295E+03
0000073   5.0233E+05 -9.5825E+04 -1.9435E+04
0000074   5.2557E+05  2.2753E+04  4.0766E+04
0000075   5.4328E+05 -7.2817E+02  4.8811E+04
0000076   5.3076E+05 -3.4494E+03 -1.0051E+04
0000077   5.1909E+05 -2.8498E+04 -2.9212E+04
0000078   5.2543E+05 -1.9047E+04 -6.7277E+03
0000079   5.3125E+05  1.0023E+04  3.3911E+04
0000080   5.3253E+05 -7.9757E+03  1.5775E+04
0000081   5.2831E+05  8.0284E+03  4.4447E+04
0000082   5.3320E+05  9.5524E+03  6.6765E+03
0000083   5.1973E+05 -7.6471E+04  8.6217E+04
0000084   5.2907E+05  9.9181E+03 -4.2507E+04
0000085   5.3726E+05  1.1433E+04  2.9014E+04
0000086   5.3583E+05  1.4867E+04  1.4169E+04
0000087   5.4181E+05  6.0949E+03  4.6177E+03
0000088   5.3798E+05  4.8386E+04 -3.0483E+04
0000089   5.2792E+05  1.7662E+04 -3.3367E+04
0000090   5.2353E+05 -2.5040E+04 -7.9084E+04
0000091   4.8718E+05  1.7715E+05 -5.6498E+03
0000092   5.4817E+05  2.7090E+04 -1.2697E+04
0000093   5.1940E+05 -5.4056E+04  4.7086E+03
0000094   5.2864E+05 -1.1061E+04 -3.4157E+03
0000095   5.2432E+05  5.1960E+04  7.1781E+04
0000096   5.4030E+05 -2.3417E+04 -1.0580E+04
0000097   5.2921E+05 -1.5376E+03 -4.2423E+04
0000098   5.2760E+05 -2.3916E+04 -4.6265E+03
0000099   5.3586E+05  3.2050E+04  3.4482E+04
0000100   5.4752E+05  1.9479E+04 -3.3003E+04
0000101   5.1569E+05  2.0482E+04  6.8541E+04
0000102   5.3209E+05  3.8485E+04 -2.9694E+04
0000103   5.3392E+05 -2.6657E+04 -1.8800E+04
0000104   5.1738E+05 -6.3878E+04  2.3416E+04
0000105   5.2774E+05  2.3044E+04  9.3546E+04
0000106   5.3373E+05 -2.0763E+04  1.5231E+04
